MusicFadeSteps		equ	127
FadeFrameWaits		equ 	8

MenuRasterOffset:	dc.b	10
ChillCount:		dc.b	-1
ChillTick:		dc.b	0
UserIntentState:	dc.b	USERINTENT_CHILL

LogoCopperEffectPtr:	dc.l	0

ChillSequencePtr:
	dc.l	ChillSequence
ChillSequence:
	dc.l	ShowTitlescreen
	dc.l	StartNewGame		; Demo
	dc.l	ShowPowerupscreen
	dc.l	ShowHiscorescreen
ChillSequenceEnd:

PowTable:
	dc.b	0
	dc.b	0
	dc.b	0
	dc.b	0
	dc.b	0
	dc.b	0
	dc.b	0
	dc.b	0
	dc.b	1
	dc.b	1
	dc.b	1
	dc.b	1
	dc.b	2
	dc.b	2
	dc.b	2
	dc.b	3
	dc.b	3
	dc.b	4
	dc.b	4
	dc.b	5
	dc.b	5
	dc.b	6
	dc.b	6
	dc.b	7
	dc.b	8
	dc.b	8
	dc.b	9
	dc.b	10
	dc.b	11
	dc.b	11
	dc.b	12
	dc.b	13
	dc.b	14
	dc.b	15
	dc.b	16
	dc.b	17
	dc.b	18
	dc.b	19
	dc.b	20
	dc.b	21
	dc.b	22
	dc.b	23
	dc.b	24
	dc.b	25
	dc.b	26
	dc.b	27
	dc.b	29
	dc.b	30
	dc.b	31
	dc.b	32
	dc.b	34
	dc.b	35
	dc.b	36
	dc.b	38
	dc.b	39
	dc.b	41
	dc.b	42
	dc.b	44
	dc.b	45
	dc.b	47
	even


; x1	EQU	0
; y1	EQU	0
; x2	EQU	0
; y2	EQU	32

; x1	EQU	12
; y1	EQU	0
; x2	EQU	15
; y2	EQU	0

; 
; dx	EQU	32		; max(abs(x2 - x1), abs(y2 - y1))
; dy	EQU	x2 - x1		; min(abs(x2 - x1), abs(y2 - y1))

A_Char:		dc.b	0
ScrollWord:	dc.b	0



ScrollTextPtr: 
	dc.l	ScrollText
	dc.w	286
ScrollText:
	dc.b	"CODE AND",0 ;ODE AND MENU MUSIC:",0
	even

CharLoopkup:
	dc.l	Spacechar
	dc.l	0 ; !
	dc.l	0 ; "
	dc.l	0 ; #
	dc.l	0 ; $
	dc.l	0 ; %
	dc.l	0 ; &
	dc.l	0 ; '
	dc.l	0 ; (
	dc.l	0 ; )
	dc.l	0 ; *
	dc.l	0 ; +
	dc.l	0 ; ,
	dc.l	0 ; -
	dc.l	0 ; .
	dc.l	0 ; /
	dc.l	0 ; 0
	dc.l	0 ; 1
	dc.l	0 ; 2
	dc.l	0 ; 3
	dc.l	0 ; 4
	dc.l	0 ; 5
	dc.l	0 ; 6
	dc.l	0 ; 7
	dc.l	0 ; 8
	dc.l	0 ; 9
	dc.l	ColonChar
	dc.l	0 ; ;
	dc.l	0 ; <
	dc.l	0 ; =
	dc.l	0 ; >
	dc.l	0 ; ?
	dc.l	0 ; @
	dc.l	Achar
	dc.l	Bchar
	dc.l	Cchar
	dc.l	Dchar
	dc.l	Echar
	dc.l	Fchar
	dc.l	Gchar
	dc.l	Hchar
	dc.l	Ichar
